"id","team","wiki","region","country","track","kind","section","application","isRemote","year"
5379,"KayseriDoga",,"asia","TUR",,"high-school","high-school","withdrawn",,2024
5094,"KCIS-Xiugang-Taipei","https://2024.igem.wiki/kcis-xiugang-taipei","asia","TWN","Bioremediation","high-school","high-school","accepted",false,2024
5375,"Keystone","https://2024.igem.wiki/keystone","asia","CHN","Therapeutics","high-school","high-school","accepted",false,2024
5519,"KFUPM-Saudi-Arabia","https://2024.igem.wiki/kfupm-saudi-arabia","asia","SAU","Infectious Diseases","collegiate","overgrad","accepted",false,2024
5128,"KhanLabSchool","https://2024.igem.wiki/khanlabschool","north-america","USA","Climate Crisis","high-school","high-school","accepted",false,2024
5404,"Korea-HS","https://2024.igem.wiki/korea-hs","asia","KOR","Climate Crisis","commercial","high-school","accepted",false,2024
5430,"KSHEIKHSTEM-EGYPT",,"africa","EGY",,"high-school","high-school","withdrawn",,2024
5476,"KUAS-Seoul",,"asia","KOR",,"collegiate","collegiate","withdrawn",,2024
5060,"KULeuven","https://2024.igem.wiki/kuleuven","europe","BEL","Bioremediation","collegiate","overgrad","accepted",false,2024
5411,"Kyoto","https://2024.igem.wiki/kyoto","asia","JPN","Agriculture","collegiate","undergrad","accepted",false,2024
5096,"Lambert-GA","https://2024.igem.wiki/lambert-ga","north-america","USA","Therapeutics","high-school","high-school","accepted",false,2024
5415,"Latvia-Riga","https://2024.igem.wiki/latvia-riga","europe","LVA","Foundational Advance","collegiate","overgrad","accepted",false,2024
5461,"LCG-China","https://2024.igem.wiki/lcg-china","asia","CHN","Biomanufacturing","commercial","high-school","accepted",false,2024
5460,"LCG-Global","https://2024.igem.wiki/lcg-global","asia","CHN","Diagnostics","commercial","high-school","accepted",false,2024
5112,"Leiden","https://2024.igem.wiki/leiden","europe","NLD","Foundational Advance","collegiate","overgrad","accepted",false,2024
5092,"LethbridgeHS","https://2024.igem.wiki/lethbridgehs","north-america","CAN","Agriculture","high-school","high-school","accepted",false,2024
5387,"Linkoping","https://2024.igem.wiki/linkoping","europe","SWE","Therapeutics","collegiate","overgrad","accepted",false,2024
5185,"LINKS-China","https://2024.igem.wiki/links-china","asia","CHN","Biomanufacturing","commercial","high-school","accepted",false,2024
5392,"LIUAN-Nanjing","https://2024.igem.wiki/liuan-nanjing","asia","CHN","Foundational Advance","commercial","high-school","accepted",true,2024
5213,"Lund","https://2024.igem.wiki/lund","europe","SWE","Climate Crisis","collegiate","overgrad","accepted",false,2024
5391,"LZU-China","https://2024.igem.wiki/lzu-china","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2024
5161,"LZU-MEDICINE-CHINA","https://2024.igem.wiki/lzu-medicine-china","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2024
5443,"MacquarieUni","https://2024.igem.wiki/macquarieuni","asia","AUS","Food & Nutrition","collegiate","overgrad","accepted",true,2024
5435,"Madrid-UCM","https://2024.igem.wiki/madrid-ucm","europe","ESP","Bioremediation","collegiate","undergrad","accepted",false,2024
5307,"Makerere-Uganda",,"africa","UGA",,"collegiate","collegiate","withdrawn",,2024
5177,"Manchester","https://2024.igem.wiki/manchester","europe","GBR","Therapeutics","collegiate","undergrad","accepted",false,2024
5088,"Marburg","https://2024.igem.wiki/marburg","europe","DEU","Agriculture","collegiate","overgrad","accepted",false,2024
5099,"McGill","https://2024.igem.wiki/mcgill","north-america","CAN","Diagnostics","collegiate","undergrad","accepted",false,2024
5393,"McMaster-Canada","https://2024.igem.wiki/mcmaster-canada","north-america","CAN","Oncology","collegiate","overgrad","accepted",false,2024
5515,"McMasterU","https://2024.igem.wiki/mcmasteru","north-america","CAN","Biomanufacturing","collegiate","undergrad","accepted",false,2024
5479,"Mexico","https://2024.igem.wiki/mexico","latin-america","MEX","Agriculture","collegiate","overgrad","accepted",false,2024
5296,"MHS-Ottawa",,"north-america","CAN",,"high-school","high-school","withdrawn",,2024
5196,"Michigan","https://2024.igem.wiki/michigan","north-america","USA","Bioremediation","collegiate","undergrad","accepted",false,2024
5325,"MichiganState","https://2024.igem.wiki/michiganstate","north-america","USA","Bioremediation","collegiate","undergrad","accepted",false,2024
5049,"Mingdao","https://2024.igem.wiki/mingdao","asia","TWN","Food & Nutrition","high-school","high-school","accepted",false,2024
5202,"Missouri-Miners","https://2024.igem.wiki/missouri-miners","north-america","USA","Infectious Diseases","collegiate","overgrad","accepted",true,2024
5345,"MIT","https://2024.igem.wiki/mit","north-america","USA","Oncology","collegiate","undergrad","accepted",false,2024
5141,"MIT-MAHE","https://2024.igem.wiki/mit-mahe","asia","IND","Agriculture","collegiate","undergrad","accepted",false,2024
5306,"MSP-Maastricht","https://2024.igem.wiki/msp-maastricht","europe","NLD","Bioremediation","collegiate","undergrad","accepted",false,2024
5102,"Munich","https://2024.igem.wiki/munich","europe","DEU","Foundational Advance","collegiate","overgrad","accepted",false,2024
5399,"NAIS","https://2024.igem.wiki/nais","asia","CHN","Food & Nutrition","commercial","high-school","accepted",false,2024
5206,"Nanjing-BioX","https://2024.igem.wiki/nanjing-biox","asia","CHN","Food & Nutrition","commercial","high-school","accepted",false,2024
5034,"Nanjing-China","https://2024.igem.wiki/nanjing-china","asia","CHN","Space","collegiate","undergrad","accepted",false,2024
5418,"NANJING-NFLSUNITED","https://2024.igem.wiki/nanjing-nflsunited","asia","CHN","Biomanufacturing","high-school","high-school","accepted",false,2024
5163,"NASSZ","https://2024.igem.wiki/nassz","asia","CHN","Therapeutics","high-school","high-school","accepted",false,2024
5398,"NAU-CHINA","https://2024.igem.wiki/nau-china","asia","CHN","Biomanufacturing","collegiate","undergrad","accepted",false,2024
5313,"NEFU-China","https://2024.igem.wiki/nefu-china","asia","CHN","Food & Nutrition","collegiate","overgrad","accepted",false,2024
5470,"NENU-China","https://2024.igem.wiki/nenu-china","asia","CHN","Food & Nutrition","collegiate","undergrad","accepted",false,2024
5537,"NJA-Kenya",,"africa","KEN","Bioremediation","high-school","high-school","withdrawn",,2024
5238,"NJMU-CHINA","https://2024.igem.wiki/njmu-china","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2024
5322,"NJTech-China","https://2024.igem.wiki/njtech-china","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2024
5366,"NJTECH-CHINA-A","https://2024.igem.wiki/njtech-china-a","asia","CHN","Biomanufacturing","collegiate","undergrad","accepted",true,2024
5367,"NJU-China","https://2024.igem.wiki/nju-china","asia","CHN","Software & AI","collegiate","undergrad","accepted",false,2024
5332,"NKU-China","https://2024.igem.wiki/nku-china","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2024
5210,"NMU-China","https://2024.igem.wiki/nmu-china","asia","CHN","Space","collegiate","undergrad","accepted",false,2024
5191,"NNHS","https://2024.igem.wiki/nnhs","asia","CHN","Foundational Advance","high-school","high-school","accepted",true,2024
5303,"NNU-CHINA","https://2024.igem.wiki/nnu-china","asia","CHN","Biomanufacturing","collegiate","undergrad","accepted",false,2024
5426,"Northeastern-Boston","https://2024.igem.wiki/northeastern-boston","north-america","USA","Food & Nutrition","collegiate","undergrad","accepted",false,2024
5204,"NPU-CHINA","https://2024.igem.wiki/npu-china","asia","CHN","Climate Crisis","collegiate","undergrad","accepted",false,2024
5361,"NTHU-Taiwan","https://2024.igem.wiki/nthu-taiwan","asia","TWN","Infectious Diseases","collegiate","undergrad","accepted",false,2024
5401,"NTU-Singapore","https://2024.igem.wiki/ntu-singapore","asia","SGP","Biomanufacturing","collegiate","undergrad","accepted",false,2024
5294,"NTU-Taiwan","https://2024.igem.wiki/ntu-taiwan","asia","TWN","Biomanufacturing","collegiate","overgrad","accepted",false,2024
5267,"NUDT-CHINA","https://2024.igem.wiki/nudt-china","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2024
