id,team,branch_name,isSoftware,link,updated
"tag:gitlab.igem.org,2024-09-26:592162",NJTECH-CHINA-A,main,False,https://gitlab.igem.org/2024/njtech-china-a/,2024-09-26T15:42:35Z
"tag:gitlab.igem.org,2024-09-26:592163",JLU-CP,main,False,https://gitlab.igem.org/2024/jlu-cp/,2024-09-26T15:42:40Z
"tag:gitlab.igem.org,2024-09-26:592164",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T15:42:43Z
"tag:gitlab.igem.org,2024-09-26:592165",TokyoTech,main,False,https://gitlab.igem.org/2024/tokyotech/,2024-09-26T15:42:44Z
"tag:gitlab.igem.org,2024-09-26:592167",NNHS,main,False,https://gitlab.igem.org/2024/nnhs/,2024-09-26T15:42:56Z
"tag:gitlab.igem.org,2024-09-26:592168",NNHS,main,False,https://gitlab.igem.org/2024/nnhs/,2024-09-26T15:43:36Z
"tag:gitlab.igem.org,2024-09-26:592169",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T15:44:06Z
"tag:gitlab.igem.org,2024-09-26:592170",NNHS,main,False,https://gitlab.igem.org/2024/nnhs/,2024-09-26T15:44:14Z
"tag:gitlab.igem.org,2024-09-26:592171",NNHS,main,False,https://gitlab.igem.org/2024/nnhs/,2024-09-26T15:44:54Z
"tag:gitlab.igem.org,2024-09-26:592172",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T15:45:01Z
"tag:gitlab.igem.org,2024-09-26:592173",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T15:45:12Z
"tag:gitlab.igem.org,2024-09-26:592174",NNHS,main,False,https://gitlab.igem.org/2024/nnhs/,2024-09-26T15:45:27Z
"tag:gitlab.igem.org,2024-09-26:592175",SMU-GDMU-CHINA,main,False,https://gitlab.igem.org/2024/smu-gdmu-china/,2024-09-26T15:45:32Z
"tag:gitlab.igem.org,2024-09-26:592176",Sheffield,main,False,https://gitlab.igem.org/2024/sheffield/,2024-09-26T15:45:45Z
"tag:gitlab.igem.org,2024-09-26:592177",NNHS,main,False,https://gitlab.igem.org/2024/nnhs/,2024-09-26T15:45:53Z
"tag:gitlab.igem.org,2024-09-26:592178",Hannover,main,False,https://gitlab.igem.org/2024/hannover/,2024-09-26T15:45:58Z
"tag:gitlab.igem.org,2024-09-26:592179",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T15:45:58Z
"tag:gitlab.igem.org,2024-09-26:592180",NJTECH-CHINA-A,main,False,https://gitlab.igem.org/2024/njtech-china-a/,2024-09-26T15:46:00Z
"tag:gitlab.igem.org,2024-09-26:592181",BotchanLab-Tokyo,main,False,https://gitlab.igem.org/2024/botchanlab-tokyo/,2024-09-26T15:46:11Z
"tag:gitlab.igem.org,2024-09-26:592182",NJTECH-CHINA-A,main,False,https://gitlab.igem.org/2024/njtech-china-a/,2024-09-26T15:46:43Z
"tag:gitlab.igem.org,2024-09-26:592183",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T15:46:46Z
"tag:gitlab.igem.org,2024-09-26:592184",NNHS,main,False,https://gitlab.igem.org/2024/nnhs/,2024-09-26T15:46:58Z
"tag:gitlab.igem.org,2024-09-26:592185",Toulouse-INSA-UPS,main,False,https://gitlab.igem.org/2024/toulouse-insa-ups/,2024-09-26T15:47:49Z
"tag:gitlab.igem.org,2024-09-26:592186",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T15:48:03Z
"tag:gitlab.igem.org,2024-09-26:592187",ICJFLS,main,False,https://gitlab.igem.org/2024/icjfls/,2024-09-26T15:48:19Z
